release,distributor,seasons,adjusted_gross
Beverly Hills Ninja,Sony Pictures Entertainment (SPE),winter,59183185
Bewitched,Sony Pictures Entertainment (SPE),summer,99401659
Beyond the Limit,Paramount Pictures,fall,18352551
Bicentennial Man,Walt Disney Studios Motion Pictures,holiday season,104655294
Big,Twentieth Century Fox,summer,297769124
Big Business,Walt Disney Studios Motion Pictures,summer,103989761
Big Daddy,Sony Pictures Entertainment (SPE),summer,297533226
Big Fat Liar,Universal Pictures,winter,81729324
Big Fish,Sony Pictures Entertainment (SPE),holiday season,100187563
Big Hero 6,Walt Disney Studios Motion Pictures,holiday season,261858117
Big Momma's House,Twentieth Century Fox,summer,208080205
Big Momma's House 2,Twentieth Century Fox,winter,105950617
"Big Mommas: Like Father, Like Son",Twentieth Century Fox,winter,51564963
Big Top Pee-wee,Paramount Pictures,summer,39166819
Big Trouble in Little China,Twentieth Century Fox,summer,30303000
Bill & Ted Face the Music,United Artists Releasing,summer,4058508
Bill & Ted's Bogus Journey,Orion Pictures,summer,84443278
Bill & Ted's Excellent Adventure,Orion Pictures,winter,99998046
Billy Bathgate,Walt Disney Studios Motion Pictures,fall,34555105
Billy Madison,Universal Pictures,winter,50921580
Biloxi Blues,Universal Pictures,spring,111848626
Bird on a Wire,Universal Pictures,summer,166798328
Birds of Prey,Warner Bros.,winter,97623814
BlacKkKlansman,Focus Features,summer,58409071
Black Adam,Warner Bros.,fall,178137491
Black Hawk Down,Revolution Studios,holiday season,183225497
Black Knight,Twentieth Century Fox,holiday season,53878444
Black Mass,Warner Bros.,fall,80096867
Black Moon Rising,New World Pictures,winter,18120552
Black Panther,Walt Disney Studios Motion Pictures,winter,847072074
Black Panther: Wakanda Forever,Walt Disney Studios Motion Pictures,holiday season,462689624
Black Rain,Paramount Pictures,fall,114143775
Black Sheep,Paramount Pictures,winter,62890910
Black Swan,-,holiday season,146275688
Black Widow,Twentieth Century Fox,winter,67802687
Black Widow,Walt Disney Studios Motion Pictures,summer,209362886
Blacklight,Briarcliff Entertainment,winter,10166559
Blade,New Line Cinema,summer,129662278
Blade II,New Line Cinema,spring,139168659
Blade Runner,Warner Bros.,summer,87428951
Blade Runner 2049,Warner Bros.,fall,112735049
Blade: Trinity,New Line Cinema,holiday season,74014838
Blades of Glory,DreamWorks,spring,175003846
Blame It on Rio,Twentieth Century Fox,winter,54815035
Blank Check,Walt Disney Studios Motion Pictures,winter,62684836
Blast from the Past,New Line Cinema,winter,48250227
Blaze,Walt Disney Studios Motion Pictures,holiday season,20547058
Blended,Warner Bros.,summer,59257100
Bless the Child,Paramount Pictures,summer,52005244
Blind Date,TriStar Pictures,spring,105775413
Blink,New Line Cinema,winter,34227248
Blockers,Universal Pictures,spring,72976908
Blood Diamond,Warner Bros.,holiday season,53947066
Bloodshot,Sony Pictures Entertainment (SPE),spring,11625272
Bloodsport,Cannon Film Distributors,winter,30577848
Blow,New Line Cinema,spring,90614225
Blown Away,Metro-Goldwyn-Mayer (MGM),summer,61819804
Blue Chips,Paramount Pictures,winter,47294859
Blue City,Paramount Pictures,spring,18967458
Blue Crush,Universal Pictures,summer,68260193
Blue Jasmine,Sony Pictures Classics,summer,42927359
Blue Streak,Sony Pictures Entertainment (SPE),fall,123177474
Blue Thunder,Columbia Pictures,summer,129478863
Blue Velvet,De Laurentiis Entertainment Group (DEG),fall,23344852
Bodies Bodies Bodies,A24,summer,12133398
Body Double,Columbia Pictures,fall,25877703
Body Heat,Warner Bros.,summer,82762402
